image_path,label,text,,,,,,,
baozi/1.jpg,baozi,"The food consists of several spherical, off-white items with a soft and smooth surface. Each piece features a distinct gathered pattern of pleats at the top, forming a small circular opening. They appear plump and voluminous, with a moist, slightly glossy texture suggesting they have been recently steamed.",,,,,,,
baozi/10.jpg,baozi,"Milky white round shape, with fine pleats on the top, soft and plump appearance.",,,,,,,
baozi/11.jpg,baozi,"The food is round, white and featured with smooth tender skin.",,,,,,,
baozi/12.jpg,baozi,"A soft, white, fluffy dome with a savory filling inside, often steamed until warm and pillowy.",,,,,,,
baozi/13.jpg,baozi,"This food is white and hemispherical, with a single crease on top of the dome.",,,,,,,
baozi/14.png,baozi,"The food is round, soft, and pale in color, with a smooth surface and a pleated top.",,,,,,,
baozi/15.jpg,baozi,"The food is milky white, round in shape, with pleated texture on the surface, plump and fluffy, and the skin has a slight sheen.",,,,,,,
baozi/16.jpg,baozi,"the food is stacked in a steamer",,,,,,,
baozi/17.jpg,baozi,"Round, plump shapes with smooth white outer skin, visible pleats at the top, and a slightly domed appearance.",,,,,,,
baozi/19.jpg,baozi,"Usually appear in groups; the surface is white and opaque, and they are typically round in shape.",,,,,,,
baozi/2.jpg,baozi,"The food is round, plump, white or pale yellow with a smooth, soft dough surface.",,,,,,,
baozi/20.webp,baozi,"white,round,smooth",,,,,,,
baozi/21.webp,baozi,"This food is soft and white, shaped like a small dome with a twisted seam running across the top.",,,,,,,
baozi/22.jpg,baozi,"Round white outer layer with a soft texture and smooth appearance",,,,,,,
baozi/25.png,baozi,"A collection of plump, white steamed pork buns (the food) presented on a white plate and stacked beside it. The buns feature neatly pleated tops, characteristic of traditional hand-crafted the food. A bamboo steamer basket is visible in the background, emphasizing the authentic preparation style of these classic Chinese buns.",,,,,,,
baozi/26.jpg,baozi,"The food is white, round and plump, with a smooth surface and pleated folds on the top.",,,,,,,
baozi/28.jpg,baozi,"The food is white, round and plump, with a smooth surface and small pleats on the top.",,,,,,,
baozi/3.jpg,baozi,"The image shows several soft, off-white, spherical items with delicate pleated patterns gathered at the top. One of them is broken open, revealing a moist, textured filling with hints of yellow and orange vegetables inside a pillowy exterior.",,,,,,,
baozi/31.jpg,baozi,"White outer skin, round in shape, with folded and plump in volume.",,,,,,,
baozi/32.jpg,baozi,"Pale white hemispherical objects with spiral folds at the top closure, smooth surface with slight reflection, stacked together.",,,,,,,
baozi/33.jpg,baozi,"Milky white, round drum-shaped, smooth, soft",,,,,,,
baozi/34.png,baozi,"White and plump, round with pleats, soft and glossy outer skin, tightly sealed at the top, full and generous in size.",,,,,,,
baozi/37.jpg,baozi,"White, round shape with a slightly wrinkled and soft outer surface",,,,,,,
baozi/38.jpg,baozi,"Milky white and round overall with a yellow interior, smooth and slightly wrinkled surface, soft and elastic when pinched, small and plump in size",,,,,,,
baozi/4.jpg,baozi,"Milky white, plump and round, with natural pleats on top. Smooth surface, looks soft and fluffy.",,,,,,,
baozi/41.jpg,baozi,"Soft white steamed bun with meat filling.",,,,,,,
baozi/42.jpg,baozi,"Small, round, steamed pleated buns.",,,,,,,
baozi/43.jpg,baozi,"The food is pale white, round, with smooth, slightly glossy skin. The outline appears neat and clearly defined.",,,,,,,
baozi/44.jpg,baozi,"The food is round and wrapped in a thin outer layer, with a soft surface and visible filling inside.",,,,,,,
baozi/47.jpg,baozi,"White, round, fluffy-looking dough balls.",,,,,,,
baozi/48.jpg,baozi,"The food is pale white, round, with smooth, slightly glossy skin. The surface texture is visible under the lighting.",,,,,,,
baozi/5.jpg,baozi,"Milky white hemispherical shape, smooth and tight skin, full and round overall.",,,,,,,
baozi/50.jpg,baozi,"The food is white,round-shaped,and looks soft on its surface.",,,,,,,
baozi/52.jpg,baozi,"""white,juicy,round""",,,,,,,
baozi/53.jpg,baozi,"White fluffy wrapper with folds, filled with oily stuffing, soft and plump texture",,,,,,,
baozi/55.jpg,baozi,"The food has a white outer skin, an overall nearly round shape, and a relatively large size. The surface looks smooth and soft, with dark brown filling and a small amount of green garnish visible inside.",,,,,,,
baozi/56.jpg,baozi,"White round steamed bun with a soft, glossy wrapper, plump body and fine pleated top, tender and fluffy in texture",,,,,,,
baozi/57.jpg,baozi,"White steamed bun with uniform pleated folds gathered at the top.",,,,,,,
baozi/60.jpg,baozi,"The food is a white steamed bun with a rounded shape and a pleated top, showing a soft exterior.",,,,,,,
baozi/61.jpg,baozi,"White round steamed bun with a soft, glossy wrapper, plump body and fine pleated top, tender and fluffy in texture. The outline appears neat and clearly defined.",,,,,,,
baozi/62.jpg,baozi,"A white circular sphere with radial folds gathering at the top. The surface has a thick texture and a faint, dewy sheen.",,,,,,,
baozi/63.jpg,baozi,"White, round shape, smooth and soft outer surface, slightly fluffy appearance.",,,,,,,
baozi/64.jpg,baozi,"White outer skin, round in shape, large in size, with wrinkles.",,,,,,,
baozi/66.jpg,baozi,"White outer skin, round shape, moderate size, smooth and plump surface",,,,,,,
baozi/67.jpg,baozi,"The food has semi-translucent, milky-white skin with a glossy surface, a small rounded shape, and fine pleats gathered at the top.",,,,,,,
baozi/68.jpg,baozi,"The food is round and plump with soft white skin, a neat folded top, and a compact shape.",,,,,,,
baozi/7.jpg,baozi,"White in color, round in shape, with a smooth outer layer and folded patterns on the top.",,,,,,,
baozi/70.jpg,baozi,"It is usually white, round in shape, with stripe-like patterns on the surface, and relatively large.",,,,,,,
baozi/71.jpg,baozi,"Off-white, round and plump, medium to relatively large in size, with clear pleated folds gathered at the top. The surface is smooth and delicate with a slight moist sheen, and the overall appearance is full and soft. Placed in a light brown round bamboo container.",,,,,,,
baozi/72.jpg,baozi,"The food is white with uniform pleats on the top, round and plump in shape, and placed in a steamer.",,,,,,,
baozi/73.jpg,baozi,"The food is white, round-shaped, and appears soft and plump with pleated tops.",,,,,,,
baozi/75.jpg,baozi,"White, soft, and round-shaped.",,,,,,,
baozi/76.jpg,baozi,"White outer skin, hemispherical in shape, relatively large in size, with stripes on the surface",,,,,,,
baozi/77.jpg,baozi,"White exterior, overall hemispherical or rounded shape with a gathered closure and soft pleats at the top. Surface is smooth and subtly glossy in places. Roughly the size of an adult fist. Occasionally a faint trace of darker filling is visible near the sealed top.",,,,,,,
baozi/79.jpg,baozi,"White outer skin, hemispherical in shape, relatively large in volume, with stripes on the surface",,,,,,,
baozi/8.jpg,baozi,"White, pleated, and round.",,,,,,,
baozi/82.jpg,baozi,"A white, round object with a smooth, glossy surface, neat ridges on top, a small circular hole in the center, and a relatively large size.",,,,,,,
baozi/83.jpg,baozi,"Hemispherical in shape, with evenly folded pleats gathered at the top, approximately 8-10 cm in diameter. The outer skin is pure white and smooth, with a fluffy and soft texture, and a slightly matte finish on the surface. The bottom is flat, and the overall appearance is plump and rounded.",,,,,,,
baozi/85.jpg,baozi,"The outer layer is pure white, and the overall shape is hemispherical, with regular folded textures gathered at the top, medium in size, and carrying a slightly moist surface. The outline appears neat and clearly defined.",,,,,,,
baozi/86.jpg,baozi,"White fluffy wrapper with folds, filled with oily stuffing, soft and plump texture. The outline appears neat and clearly defined.",,,,,,,
baozi/87.jpg,baozi,"The food is a rounded steamed bun with a pale outer skin and a slightly full shape.",,,,,,,
cupcake/0.jpg,cupcake,"The food is square-cut, layered, and topped with glossy brown coating and nuts.",,,,,,,
cupcake/11.jpg,cupcake,"The food is compact, soft and coated with delicate smooth surface.",,,,,,,
cupcake/12.webp,cupcake,"A small, round, sweet baked treat with a tender crumb, often topped with creamy frosting or sprinkles.",,,,,,,
cupcake/13.jpg,cupcake,"This food is pink at the bottom and chocolate brown on top, with a cup-shaped base and a creamy pull on the upper part.",,,,,,,
cupcake/14.png,cupcake,"The food is small and delicate, with a soft sponge texture, a rounded top, and light cream decoration.",,,,,,,
cupcake/15.jpg,cupcake,"The food is cylindrical and large in size, with a milky white base, black dripping decorations on the edge, colorful toppings on the top, and white spiral cream around the edge.",,,,,,,
cupcake/16.jpg,cupcake,"the food is silced open with chocolate and starwberries",,,,,,,
cupcake/18.jpg,cupcake,"Small cup shape, layered cream structure, topped with bright red granular fruit, delicate overall appearance",,,,,,,
